REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Oklahoma,2014,40,X,1.85456,X,X,X,X,X,X,38,14,2049
States,Oregon,2014,40,X,0.223499,X,X,X,X,X,X,7,13,3132
States,Pennsylvania,2014,40,X,0.937714,X,X,X,X,X,X,137,38,14610
States,Rhode Island,2014,40,X,0.0433839,X,X,X,X,X,X,3,20,6915
States,South Carolina,2014,40,X,0.229709,X,X,X,X,X,X,15,15,6530
States,South Dakota,2014,40,X,0.820531,X,X,X,X,X,X,47,24,5728
States,Tennessee,2014,40,X,0.235632,X,X,X,X,X,X,23,48,9761
States,Texas,2014,40,X,1.61545,X,X,X,X,X,X,623,95,38565
States,Utah,2014,40,X,1.15574,X,X,X,X,X,X,200,45,17305
States,Vermont,2014,40,X,1.33929,X,X,X,X,X,X,42,11,3136
States,Virginia,2014,40,X,1.43013,X,X,X,X,X,X,1166,121,81531
States,Washington,2014,40,X,0.443718,X,X,X,X,X,X,19,26,4282
States,West Virginia,2014,40,X,0.913293,X,X,X,X,X,X,162,46,17738
States,Wisconsin,2014,40,X,0.783875,X,X,X,X,X,X,35,29,4465
States,Wyoming,2014,40,X,0.519785,X,X,X,X,X,X,31,25,5964
States,Puerto Rico,2014,40,X,6.77821,X,X,X,X,X,X,397,6,5857
States,Virgin Islands,2014,40,X,1.40845,X,X,X,X,X,X,5,1,355
States,New York City,2014,40,X,1.54549,X,X,X,X,X,X,1613,94,104368
States,Alabama,2014,41,X,2.06627,X,X,X,X,X,X,270,27,13067
States,Alaska,2014,41,X,0.412939,X,X,X,X,X,X,6,8,1453
States,Arizona,2014,41,X,0.830861,X,X,X,X,X,X,238,59,28645
States,Arkansas,2014,41,X,1.24595,X,X,X,X,X,X,77,19,6180
States,California,2014,41,X,2.01872,X,X,X,X,X,X,936,136,46366
States,Colorado,2014,41,X,0.427594,X,X,X,X,X,X,15,6,3508
States,Connecticut,2014,41,X,1.59107,X,X,X,X,X,X,67,18,4211
States,Delaware,2014,41,X,0.113314,X,X,X,X,X,X,2,7,1765
States,District of Columbia,2014,41,X,5.46912,X,X,X,X,X,X,116,2,2121
States,Florida,2014,41,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2014,41,X,0.500595,X,X,X,X,X,X,101,34,20176
States,Hawaii,2014,41,X,4.95225,X,X,X,X,X,X,140,20,2827
States,Idaho,2014,41,X,1.28079,X,X,X,X,X,X,39,9,3045
States,Illinois,2014,41,X,1.4802,X,X,X,X,X,X,831,93,56141
States,Indiana,2014,41,X,0.791997,X,X,X,X,X,X,76,38,9596
States,Iowa,2014,41,X,0.315731,X,X,X,X,X,X,102,16,32306
States,Kansas,2014,41,X,0.600515,X,X,X,X,X,X,42,30,6994
States,Kentucky,2014,41,X,0.0897384,X,X,X,X,X,X,20,17,22287
States,Louisiana,2014,41,X,2.072,X,X,X,X,X,X,1009,79,48697
States,Maine,2014,41,X,1.25817,X,X,X,X,X,X,77,30,6120
States,Maryland,2014,41,X,0.966228,X,X,X,X,X,X,105,21,10867
States,Massachusetts,2014,41,X,0.706026,X,X,X,X,X,X,185,46,26203
States,Michigan,2014,41,X,0.270187,X,X,X,X,X,X,44,45,16285
States,Minnesota,2014,41,X,0.754446,X,X,X,X,X,X,42,16,5567
States,Mississippi,2014,41,X,2.87785,X,X,X,X,X,X,528,52,18347
States,Missouri,2014,41,X,1.28882,X,X,X,X,X,X,105,23,8147
States,Montana,2014,41,X,0,X,X,X,X,X,X,0,11,3426
States,Nebraska,2014,41,X,0.741565,X,X,X,X,X,X,20,15,2697
States,Nevada,2014,41,X,0.587345,X,X,X,X,X,X,66,31,11237
States,New Hampshire,2014,41,X,0.281577,X,X,X,X,X,X,14,26,4972
States,New Jersey,2014,41,X,2.17104,X,X,X,X,X,X,181,24,8337
States,New Mexico,2014,41,X,1.55445,X,X,X,X,X,X,181,26,11644
States,New York,2014,41,X,0.609081,X,X,X,X,X,X,110,155,18060
States,North Carolina,2014,41,X,0.660579,X,X,X,X,X,X,102,48,15441
States,North Dakota,2014,41,X,0.664011,X,X,X,X,X,X,10,8,1506
States,Ohio,2014,41,X,0.576121,X,X,X,X,X,X,87,52,15101
States,Oklahoma,2014,41,X,2.47019,X,X,X,X,X,X,58,17,2348
States,Oregon,2014,41,X,0.418535,X,X,X,X,X,X,14,13,3345
States,Pennsylvania,2014,41,X,1.1936,X,X,X,X,X,X,159,40,13321
States,Rhode Island,2014,41,X,0.152184,X,X,X,X,X,X,10,19,6571
States,South Carolina,2014,41,X,0.225802,X,X,X,X,X,X,15,15,6643
States,South Dakota,2014,41,X,0.781793,X,X,X,X,X,X,45,24,5756
States,Tennessee,2014,41,X,0.468272,X,X,X,X,X,X,49,48,10464
States,Texas,2014,41,X,1.73191,X,X,X,X,X,X,672,94,38801
States,Utah,2014,41,X,1.29199,X,X,X,X,X,X,230,42,17802
States,Vermont,2014,41,X,1.06727,X,X,X,X,X,X,33,11,3092
States,Virginia,2014,41,X,1.77161,X,X,X,X,X,X,1166,118,65816
States,Washington,2014,41,X,1.45322,X,X,X,X,X,X,64,26,4404
States,West Virginia,2014,41,X,1.09747,X,X,X,X,X,X,194,44,17677
States,Wisconsin,2014,41,X,0.783972,X,X,X,X,X,X,36,27,4592
States,Wyoming,2014,41,X,0.470793,X,X,X,X,X,X,27,24,5735
States,Puerto Rico,2014,41,X,4.16171,X,X,X,X,X,X,210,5,5046
States,Virgin Islands,2014,41,X,1.63043,X,X,X,X,X,X,6,1,368
States,New York City,2014,41,X,1.61982,X,X,X,X,X,X,1621,80,100073
States,Alabama,2014,42,X,1.73504,X,X,X,X,X,X,214,28,12334
States,Alaska,2014,42,X,0.364631,X,X,X,X,X,X,4,7,1097
States,Arizona,2014,42,X,0.969776,X,X,X,X,X,X,283,60,29182
States,Arkansas,2014,42,X,1.21241,X,X,X,X,X,X,77,21,6351
States,California,2014,42,X,1.88158,X,X,X,X,X,X,886,139,47088
States,Colorado,2014,42,X,0.472813,X,X,X,X,X,X,18,6,3807
States,Connecticut,2014,42,X,1.55388,X,X,X,X,X,X,62,16,3990
States,Delaware,2014,42,X,0,X,X,X,X,X,X,0,7,1677
States,District of Columbia,2014,42,X,5.03445,X,X,X,X,X,X,95,2,1887
States,Florida,2014,42,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2014,42,X,0.535943,X,X,X,X,X,X,155,35,28921
States,Hawaii,2014,42,X,4.42924,X,X,X,X,X,X,123,20,2777
States,Idaho,2014,42,X,1.48213,X,X,X,X,X,X,51,10,3441
States,Illinois,2014,42,X,1.64143,X,X,X,X,X,X,929,94,56597
States,Indiana,2014,42,X,0.688047,X,X,X,X,X,X,59,36,8575
States,Iowa,2014,42,X,0.275115,X,X,X,X,X,X,95,14,34531
States,Kansas,2014,42,X,0.875099,X,X,X,X,X,X,55,30,6285
States,Kentucky,2014,42,X,0.048178,X,X,X,X,X,X,11,19,22832
States,Louisiana,2014,42,X,2.6345,X,X,X,X,X,X,1307,83,49611
States,Maine,2014,42,X,1.13998,X,X,X,X,X,X,68,31,5965
States,Maryland,2014,42,X,0.857064,X,X,X,X,X,X,93,21,10851
States,Massachusetts,2014,42,X,0.784763,X,X,X,X,X,X,178,46,22682
States,Michigan,2014,42,X,0.394187,X,X,X,X,X,X,67,47,16997
States,Minnesota,2014,42,X,0.892164,X,X,X,X,X,X,46,15,5156
States,Mississippi,2014,42,X,2.48465,X,X,X,X,X,X,441,53,17749
States,Missouri,2014,42,X,1.40453,X,X,X,X,X,X,116,23,8259
States,Montana,2014,42,X,0.0597907,X,X,X,X,X,X,2,11,3345
States,Nebraska,2014,42,X,0.855545,X,X,X,X,X,X,26,16,3039
States,Nevada,2014,42,X,0.551651,X,X,X,X,X,X,73,31,13233
States,New Hampshire,2014,42,X,0.0609756,X,X,X,X,X,X,3,26,4920
States,New Jersey,2014,42,X,1.60945,X,X,X,X,X,X,173,25,10749
States,New Mexico,2014,42,X,1.90233,X,X,X,X,X,X,194,25,10198
States,New York,2014,42,X,0.76846,X,X,X,X,X,X,138,157,17958
States,North Carolina,2014,42,X,0.493643,X,X,X,X,X,X,73,47,14788
States,North Dakota,2014,42,X,0.804829,X,X,X,X,X,X,12,7,1491
States,Ohio,2014,42,X,0.49337,X,X,X,X,X,X,80,55,16215
States,Oklahoma,2014,42,X,1.36633,X,X,X,X,X,X,53,19,3879
States,Oregon,2014,42,X,0.572246,X,X,X,X,X,X,28,20,4893
States,Pennsylvania,2014,42,X,1.01448,X,X,X,X,X,X,166,45,16363
States,Rhode Island,2014,42,X,0.241629,X,X,X,X,X,X,14,20,5794
States,South Carolina,2014,42,X,0.559589,X,X,X,X,X,X,37,15,6612
States,South Dakota,2014,42,X,0.844231,X,X,X,X,X,X,51,24,6041
States,Tennessee,2014,42,X,0.5426,X,X,X,X,X,X,47,46,8662
States,Texas,2014,42,X,1.97601,X,X,X,X,X,X,761,95,38512
States,Utah,2014,42,X,1.29317,X,X,X,X,X,X,243,43,18791
States,Vermont,2014,42,X,1.30826,X,X,X,X,X,X,32,9,2446
States,Virginia,2014,42,X,1.87367,X,X,X,X,X,X,1280,108,68315
States,Washington,2014,42,X,0.773616,X,X,X,X,X,X,38,32,4912
States,West Virginia,2014,42,X,0.965647,X,X,X,X,X,X,174,44,18019
States,Wisconsin,2014,42,X,1.00767,X,X,X,X,X,X,46,29,4565
States,Wyoming,2014,42,X,0.512343,X,X,X,X,X,X,33,24,6441
States,Puerto Rico,2014,42,X,10.1388,X,X,X,X,X,X,577,6,5691
States,Virgin Islands,2014,42,X,1.80412,X,X,X,X,X,X,7,1,388
States,New York City,2014,42,X,1.73901,X,X,X,X,X,X,1742,94,100172
States,Alabama,2014,43,X,1.8387,X,X,X,X,X,X,246,28,13379
States,Alaska,2014,43,X,1.54603,X,X,X,X,X,X,22,8,1423
States,Arizona,2014,43,X,0.931957,X,X,X,X,X,X,289,59,31010
States,Arkansas,2014,43,X,1.44473,X,X,X,X,X,X,83,20,5745
States,California,2014,43,X,1.84197,X,X,X,X,X,X,873,147,47395
States,Colorado,2014,43,X,0.440643,X,X,X,X,X,X,17,4,3858
States,Connecticut,2014,43,X,1.45909,X,X,X,X,X,X,56,16,3838
States,Delaware,2014,43,X,0,X,X,X,X,X,X,0,7,1734
States,District of Columbia,2014,43,X,5.6615,X,X,X,X,X,X,95,2,1678
States,Florida,2014,43,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2014,43,X,0.679822,X,X,X,X,X,X,195,36,28684
States,Hawaii,2014,43,X,4.43332,X,X,X,X,X,X,124,20,2797
States,Idaho,2014,43,X,0.863171,X,X,X,X,X,X,27,10,3128
States,Illinois,2014,43,X,1.59675,X,X,X,X,X,X,899,93,56302
States,Indiana,2014,43,X,0.755814,X,X,X,X,X,X,65,37,8600
States,Iowa,2014,43,X,0.287503,X,X,X,X,X,X,96,16,33391
States,Kansas,2014,43,X,0.922992,X,X,X,X,X,X,67,32,7259
States,Kentucky,2014,43,X,0.164097,X,X,X,X,X,X,38,19,23157
States,Louisiana,2014,43,X,2.51817,X,X,X,X,X,X,1161,81,46105
States,Maine,2014,43,X,0.969279,X,X,X,X,X,X,59,31,6087
States,Maryland,2014,43,X,0.957198,X,X,X,X,X,X,123,23,12850
States,Massachusetts,2014,43,X,0.605295,X,X,X,X,X,X,163,48,26929
States,Michigan,2014,43,X,0.443656,X,X,X,X,X,X,75,47,16905
States,Minnesota,2014,43,X,0.856198,X,X,X,X,X,X,44,16,5139
States,Mississippi,2014,43,X,2.86832,X,X,X,X,X,X,550,53,19175
States,Missouri,2014,43,X,1.32654,X,X,X,X,X,X,112,22,8443
States,Montana,2014,43,X,0.126984,X,X,X,X,X,X,4,12,3150
States,Nebraska,2014,43,X,0.530906,X,X,X,X,X,X,14,16,2637
States,Nevada,2014,43,X,0.435894,X,X,X,X,X,X,58,30,13306
States,New Hampshire,2014,43,X,0.10142,X,X,X,X,X,X,5,26,4930
States,New Jersey,2014,43,X,1.86151,X,X,X,X,X,X,207,26,11120
States,New Mexico,2014,43,X,1.6611,X,X,X,X,X,X,179,24,10776
States,New York,2014,43,X,0.872553,X,X,X,X,X,X,160,159,18337
States,North Carolina,2014,43,X,0.789224,X,X,X,X,X,X,133,51,16852
States,North Dakota,2014,43,X,0.643317,X,X,X,X,X,X,9,8,1399
States,Ohio,2014,43,X,0.605954,X,X,X,X,X,X,103,56,16998
States,Oklahoma,2014,43,X,1.07742,X,X,X,X,X,X,43,18,3991
States,Oregon,2014,43,X,0.713776,X,X,X,X,X,X,30,16,4203
States,Pennsylvania,2014,43,X,1.1704,X,X,X,X,X,X,195,46,16661
States,Rhode Island,2014,43,X,0.0994318,X,X,X,X,X,X,7,20,7040
States,South Carolina,2014,43,X,0.638763,X,X,X,X,X,X,38,15,5949
States,South Dakota,2014,43,X,1.0968,X,X,X,X,X,X,63,24,5744
States,Tennessee,2014,43,X,0.786283,X,X,X,X,X,X,83,48,10556
States,Texas,2014,43,X,2.1727,X,X,X,X,X,X,860,98,39582
States,Utah,2014,43,X,1.51456,X,X,X,X,X,X,234,38,15450
States,Vermont,2014,43,X,1.06242,X,X,X,X,X,X,40,12,3765
States,Virginia,2014,43,X,1.70346,X,X,X,X,X,X,1291,116,75787
States,Washington,2014,43,X,0.620604,X,X,X,X,X,X,30,31,4834
States,West Virginia,2014,43,X,1.08258,X,X,X,X,X,X,199,45,18382
States,Wisconsin,2014,43,X,1.93198,X,X,X,X,X,X,146,29,7557
States,Wyoming,2014,43,X,0.84832,X,X,X,X,X,X,50,26,5894
States,Puerto Rico,2014,43,X,9.27433,X,X,X,X,X,X,547,7,5898
States,Virgin Islands,2014,43,X,3.35917,X,X,X,X,X,X,13,1,387
States,New York City,2014,43,X,1.72474,X,X,X,X,X,X,1727,93,100131
States,Alabama,2014,44,X,2.11822,X,X,X,X,X,X,253,28,11944
States,Alaska,2014,44,X,1.80723,X,X,X,X,X,X,21,7,1162
States,Arizona,2014,44,X,0.939032,X,X,X,X,X,X,272,58,28966
States,Arkansas,2014,44,X,1.46085,X,X,X,X,X,X,86,18,5887
States,California,2014,44,X,1.88603,X,X,X,X,X,X,844,154,44750
States,Colorado,2014,44,X,0.49776,X,X,X,X,X,X,20,6,4018
States,Connecticut,2014,44,X,2.06852,X,X,X,X,X,X,96,21,4641
States,Delaware,2014,44,X,0.0538213,X,X,X,X,X,X,1,7,1858
States,District of Columbia,2014,44,X,6.35436,X,X,X,X,X,X,137,2,2156
States,Florida,2014,44,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2014,44,X,0.769458,X,X,X,X,X,X,182,37,23653
States,Hawaii,2014,44,X,4.48448,X,X,X,X,X,X,117,20,2609
States,Idaho,2014,44,X,0.947587,X,X,X,X,X,X,32,10,3377
States,Illinois,2014,44,X,1.74722,X,X,X,X,X,X,979,96,56032
States,Indiana,2014,44,X,0.694664,X,X,X,X,X,X,66,38,9501
States,Iowa,2014,44,X,0.34339,X,X,X,X,X,X,117,16,34072
States,Kansas,2014,44,X,0.78125,X,X,X,X,X,X,47,29,6016
States,Kentucky,2014,44,X,0.0676779,X,X,X,X,X,X,17,19,25119
States,Louisiana,2014,44,X,2.54468,X,X,X,X,X,X,1206,77,47393
States,Maine,2014,44,X,1.02456,X,X,X,X,X,X,63,30,6149
States,Maryland,2014,44,X,1.12683,X,X,X,X,X,X,133,23,11803
States,Massachusetts,2014,44,X,0.740407,X,X,X,X,X,X,197,47,26607
States,Michigan,2014,44,X,0.494181,X,X,X,X,X,X,93,52,18819
States,Minnesota,2014,44,X,0.826598,X,X,X,X,X,X,45,16,5444
States,Mississippi,2014,44,X,2.45889,X,X,X,X,X,X,483,54,19643
States,Missouri,2014,44,X,0.948386,X,X,X,X,X,X,52,22,5483
States,Montana,2014,44,X,0.118941,X,X,X,X,X,X,4,12,3363
States,Nebraska,2014,44,X,0.420008,X,X,X,X,X,X,11,16,2619
States,Nevada,2014,44,X,0.562972,X,X,X,X,X,X,70,29,12434
States,New Hampshire,2014,44,X,0.269906,X,X,X,X,X,X,14,27,5187
States,New Jersey,2014,44,X,1.57613,X,X,X,X,X,X,168,26,10659
States,New Mexico,2014,44,X,1.31718,X,X,X,X,X,X,150,27,11388
States,New York,2014,44,X,0.95177,X,X,X,X,X,X,178,161,18702
States,North Carolina,2014,44,X,0.923254,X,X,X,X,X,X,160,52,17330
States,North Dakota,2014,44,X,0.679245,X,X,X,X,X,X,9,7,1325
States,Ohio,2014,44,X,0.534759,X,X,X,X,X,X,87,54,16269
States,Oklahoma,2014,44,X,1.40476,X,X,X,X,X,X,59,18,4200
States,Oregon,2014,44,X,1.03776,X,X,X,X,X,X,47,17,4529
States,Pennsylvania,2014,44,X,1.08301,X,X,X,X,X,X,170,47,15697
States,Rhode Island,2014,44,X,0.154213,X,X,X,X,X,X,11,20,7133
States,South Carolina,2014,44,X,0.76835,X,X,X,X,X,X,47,15,6117
States,South Dakota,2014,44,X,0.70514,X,X,X,X,X,X,38,23,5389
States,Tennessee,2014,44,X,0.83815,X,X,X,X,X,X,87,48,10380
States,Texas,2014,44,X,2.26836,X,X,X,X,X,X,861,96,37957
States,Utah,2014,44,X,1.58786,X,X,X,X,X,X,270,41,17004
States,Vermont,2014,44,X,1.37312,X,X,X,X,X,X,52,12,3787
States,Virginia,2014,44,X,1.71274,X,X,X,X,X,X,1262,116,73683
States,Washington,2014,44,X,0.604511,X,X,X,X,X,X,26,35,4301
States,West Virginia,2014,44,X,1.1051,X,X,X,X,X,X,194,44,17555
States,Wisconsin,2014,44,X,2.2283,X,X,X,X,X,X,171,29,7674
States,Wyoming,2014,44,X,0.43082,X,X,X,X,X,X,26,26,6035
States,Puerto Rico,2014,44,X,6.18928,X,X,X,X,X,X,344,7,5558
States,Virgin Islands,2014,44,X,2.97767,X,X,X,X,X,X,12,1,403
States,New York City,2014,44,X,1.79443,X,X,X,X,X,X,1798,95,100199
States,Alabama,2014,45,X,2.5133,X,X,X,X,X,X,274,26,10902
States,Alaska,2014,45,X,3.11448,X,X,X,X,X,X,37,7,1188
States,Arizona,2014,45,X,1.08034,X,X,X,X,X,X,325,61,30083
States,Arkansas,2014,45,X,1.64339,X,X,X,X,X,X,100,19,6085
States,California,2014,45,X,2.22964,X,X,X,X,X,X,1048,157,47003
States,Colorado,2014,45,X,0.557,X,X,X,X,X,X,15,6,2693
States,Connecticut,2014,45,X,2.27323,X,X,X,X,X,X,103,21,4531
States,Delaware,2014,45,X,0.0993542,X,X,X,X,X,X,2,7,2013
States,District of Columbia,2014,45,X,7.22467,X,X,X,X,X,X,164,2,2270
States,Florida,2014,45,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2014,45,X,1.26756,X,X,X,X,X,X,296,37,23352
States,Hawaii,2014,45,X,5.23318,X,X,X,X,X,X,147,20,2809
States,Idaho,2014,45,X,2.12156,X,X,X,X,X,X,74,10,3488
States,Illinois,2014,45,X,1.95543,X,X,X,X,X,X,1109,96,56714
States,Indiana,2014,45,X,0.829048,X,X,X,X,X,X,79,38,9529
States,Iowa,2014,45,X,0.288583,X,X,X,X,X,X,98,17,33959
States,Kansas,2014,45,X,1.01807,X,X,X,X,X,X,71,31,6974
States,Kentucky,2014,45,X,0.165563,X,X,X,X,X,X,34,17,20536
States,Louisiana,2014,45,X,3.05093,X,X,X,X,X,X,1421,78,46576
States,Maine,2014,45,X,1.04025,X,X,X,X,X,X,61,31,5864
States,Maryland,2014,45,X,0.925521,X,X,X,X,X,X,127,24,13722
States,Massachusetts,2014,45,X,0.943831,X,X,X,X,X,X,266,50,28183
States,Michigan,2014,45,X,0.650309,X,X,X,X,X,X,119,48,18299
States,Minnesota,2014,45,X,0.827719,X,X,X,X,X,X,43,15,5195
States,Mississippi,2014,45,X,3.13698,X,X,X,X,X,X,622,52,19828
States,Missouri,2014,45,X,1.04767,X,X,X,X,X,X,80,21,7636
States,Montana,2014,45,X,0.188088,X,X,X,X,X,X,6,11,3190
States,Nebraska,2014,45,X,0.293871,X,X,X,X,X,X,7,15,2382
States,Nevada,2014,45,X,0.544813,X,X,X,X,X,X,71,30,13032
States,New Hampshire,2014,45,X,0.299222,X,X,X,X,X,X,15,27,5013
States,New Jersey,2014,45,X,1.60939,X,X,X,X,X,X,170,25,10563
States,New Mexico,2014,45,X,1.75094,X,X,X,X,X,X,187,26,10680
States,New York,2014,45,X,1.10596,X,X,X,X,X,X,210,161,18988
States,North Carolina,2014,45,X,0.970316,X,X,X,X,X,X,169,50,17417
States,North Dakota,2014,45,X,0.563063,X,X,X,X,X,X,5,7,888
States,Ohio,2014,45,X,0.551492,X,X,X,X,X,X,95,58,17226
States,Oklahoma,2014,45,X,1.38249,X,X,X,X,X,X,21,18,1519
States,Oregon,2014,45,X,0.44891,X,X,X,X,X,X,21,19,4678
States,Pennsylvania,2014,45,X,1.18687,X,X,X,X,X,X,204,47,17188
States,Rhode Island,2014,45,X,0.207237,X,X,X,X,X,X,13,19,6273
States,South Carolina,2014,45,X,0.969485,X,X,X,X,X,X,61,14,6292
States,South Dakota,2014,45,X,0.886767,X,X,X,X,X,X,52,24,5864
States,Tennessee,2014,45,X,1.02956,X,X,X,X,X,X,109,47,10587
States,Texas,2014,45,X,2.31548,X,X,X,X,X,X,885,99,38221
States,Utah,2014,45,X,1.51435,X,X,X,X,X,X,259,40,17103
States,Vermont,2014,45,X,1.1477,X,X,X,X,X,X,46,13,4008
States,Virginia,2014,45,X,1.70635,X,X,X,X,X,X,1282,119,75131
States,Washington,2014,45,X,0.616406,X,X,X,X,X,X,26,35,4218
States,West Virginia,2014,45,X,1.05838,X,X,X,X,X,X,188,45,17763
States,Wisconsin,2014,45,X,2.3772,X,X,X,X,X,X,181,28,7614
States,Wyoming,2014,45,X,0.605727,X,X,X,X,X,X,33,24,5448
States,Puerto Rico,2014,45,X,10.6045,X,X,X,X,X,X,514,6,4847
States,Virgin Islands,2014,45,X,6.84932,X,X,X,X,X,X,25,1,365
States,New York City,2014,45,X,1.87235,X,X,X,X,X,X,1884,95,100622
States,Alabama,2014,46,X,3.95533,X,X,X,X,X,X,510,28,12894
States,Alaska,2014,46,X,3.14843,X,X,X,X,X,X,42,8,1334
States,Arizona,2014,46,X,1.1259,X,X,X,X,X,X,318,60,28244
States,Arkansas,2014,46,X,1.53528,X,X,X,X,X,X,89,19,5797
States,California,2014,46,X,2.21797,X,X,X,X,X,X,858,141,38684
States,Colorado,2014,46,X,0.42123,X,X,X,X,X,X,15,5,3561
States,Connecticut,2014,46,X,2.11506,X,X,X,X,X,X,75,14,3546
States,Delaware,2014,46,X,0.0569801,X,X,X,X,X,X,1,7,1755
States,District of Columbia,2014,46,X,5.93824,X,X,X,X,X,X,150,2,2526
States,Florida,2014,46,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2014,46,X,1.72023,X,X,X,X,X,X,402,35,23369
States,Hawaii,2014,46,X,5.19622,X,X,X,X,X,X,143,20,2752
States,Idaho,2014,46,X,1.64349,X,X,X,X,X,X,52,10,3164
States,Illinois,2014,46,X,2.16649,X,X,X,X,X,X,1212,96,55943
States,Indiana,2014,46,X,1.03026,X,X,X,X,X,X,95,37,9221
States,Iowa,2014,46,X,0.231332,X,X,X,X,X,X,79,18,34150
States,Kansas,2014,46,X,1.18789,X,X,X,X,X,X,82,31,6903
States,Kentucky,2014,46,X,0.197481,X,X,X,X,X,X,45,19,22787
States,Louisiana,2014,46,X,3.31273,X,X,X,X,X,X,1624,81,49023
States,Maine,2014,46,X,1.34328,X,X,X,X,X,X,72,30,5360
States,Maryland,2014,46,X,0.855491,X,X,X,X,X,X,111,23,12975
States,Massachusetts,2014,46,X,0.881402,X,X,X,X,X,X,248,50,28137
States,Michigan,2014,46,X,0.54948,X,X,X,X,X,X,103,50,18745
States,Minnesota,2014,46,X,0.775054,X,X,X,X,X,X,43,16,5548
States,Mississippi,2014,46,X,3.15941,X,X,X,X,X,X,614,53,19434
States,Missouri,2014,46,X,1.616,X,X,X,X,X,X,118,23,7302
States,Montana,2014,46,X,0.138696,X,X,X,X,X,X,4,11,2884
States,Nebraska,2014,46,X,0.684671,X,X,X,X,X,X,18,15,2629
States,Nevada,2014,46,X,0.814036,X,X,X,X,X,X,103,30,12653
States,New Hampshire,2014,46,X,0.241935,X,X,X,X,X,X,12,27,4960
States,New Jersey,2014,46,X,1.76267,X,X,X,X,X,X,194,26,11006
States,New Mexico,2014,46,X,1.26371,X,X,X,X,X,X,136,26,10762
States,New York,2014,46,X,1.11014,X,X,X,X,X,X,191,160,17205
